year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,state_government
2000,SC,South Carolina,4012012,33225,291,1660,0,6220,25054,181290,40319,125385,15586,D
2001,SC,South Carolina,4062125,33114,330,1769,0,5987,25028,186054,42611,126742,16701,D
2002,SC,South Carolina,4103770,33761,298,1959,0,5774,25730,183808,43745,123196,16867,D
2003,SC,South Carolina,4148744,33455,303,1952,0,5801,25399,187592,43993,127809,15790,R
2004,SC,South Carolina,4197892,33160,286,1772,0,5468,25634,190456,43739,130991,15726,R
2005,SC,South Carolina,4246933,32590,314,1862,0,5657,24757,185606,42741,126489,16376,R
2006,SC,South Carolina,4321249,33322,362,1834,0,5902,25224,184712,42952,125075,16685,R
2007,SC,South Carolina,4407709,34630,364,1773,0,6354,26139,189304,45398,126802,17104,R
2008,SC,South Carolina,4479800,32746,307,1686,0,6595,24158,189950,45964,126316,17670,R
2009,SC,South Carolina,4561242,30799,305,1663,0,5753,23078,178310,45443,119250,13617,R
2010,SC,South Carolina,4637106,27923,265,1551,0,5017,21090,181098,46261,121544,13293,R
2011,SC,South Carolina,4673348,27894,320,1678,0,4631,21265,183243,47351,122255,13637,R
2012,SC,South Carolina,4723417,26474,332,1712,0,4511,19919,181049,45222,122340,13487,R
2013,SC,South Carolina,4771929,24263,305,0,2233,3965,17760,173261,40930,119730,12601,R
2014,SC,South Carolina,4829160,24038,322,0,2185,4018,17513,168281,37163,118173,12945,R
2015,SC,South Carolina,4894834,24448,407,0,2439,3950,17652,162830,34942,114778,13110,R
2016,SC,South Carolina,4959822,25137,358,0,2491,4071,18217,161534,33149,114455,13930,R
2017,SC,South Carolina,5021219,25412,380,0,2576,3884,18572,160368,31165,114931,14272,R
2018,SC,South Carolina,5084156,25463,411,0,2650,3592,18810,156330,29957,111427,14946,R
2019,SC,     South Carolina,5157702,26307,455,0,2528,3325,19999,151970,27439,109366,15165,R
2020,SC,     South Carolina,5218040,27691,549,0,2086,3122,21934,141987,23377,103892,14718,R
1979,SD,South Dakota,689000,1096,14,113,0,140,829,19297,4316,13782,1199,R
1980,SD,South Dakota,688217,873,5,86,0,138,644,21447,4766,15521,1160,R
1981,SD,South Dakota,685000,718,12,79,0,122,505,19922,4348,14587,987,R
1982,SD,South Dakota,691000,684,19,79,0,118,468,17592,3885,12889,818,R
1983,SD,South Dakota,700000,840,15,119,0,111,595,16993,3820,12453,720,R
1984,SD,South Dakota,706000,1041,13,190,0,105,733,17403,3529,13102,772,R
1985,SD,South Dakota,708000,967,13,168,0,121,665,17730,3867,13142,721,R
1986,SD,South Dakota,708000,883,28,125,0,115,615,18346,3919,13728,699,R
1987,SD,South Dakota,709000,849,13,146,0,87,603,18138,3787,13673,678,R
1988,SD,South Dakota,715000,813,22,192,0,87,512,17641,3703,13255,683,R
1989,SD,South Dakota,715000,969,9,229,0,84,647,18230,3394,14057,779,R
1990,SD,South Dakota,696004,1133,14,239,0,86,794,19116,3671,14678,767,R
1991,SD,South Dakota,703000,1281,12,279,0,132,858,20366,4146,15412,808,R
1992,SD,South Dakota,711000,1383,4,368,0,120,891,19939,3849,15371,719,R
1993,SD,South Dakota,715000,1490,24,318,0,107,1041,19661,3927,14915,819,R
1994,SD,South Dakota,721000,1641,10,303,0,135,1193,20726,3938,15916,872,R
1995,SD,South Dakota,729000,1513,13,299,0,189,1012,20799,3942,15976,881,R
1996,SD,South Dakota,732000,1297,9,300,0,138,850,20443,4077,15532,834,R
1997,SD,South Dakota,738000,1457,10,357,0,172,918,22491,4088,17545,858,R
1998,SD,South Dakota,738000,1139,10,258,0,149,722,18227,3458,14006,763,R
1999,SD,South Dakota,733133,1227,18,336,0,103,770,18159,3255,14043,861,R
2000,SD,South Dakota,754844,1259,7,305,0,131,816,16252,2896,12558,798,R
2001,SD,South Dakota,758324,1171,7,351,0,103,710,16473,3087,12571,815,R
2002,SD,South Dakota,760437,1350,11,361,0,117,861,15992,3034,12139,819,R
2003,SD,South Dakota,764905,1329,10,356,0,104,859,15324,2878,11572,874,R
2004,SD,South Dakota,770621,1319,17,336,0,112,854,14885,3148,10890,847,R
2005,SD,South Dakota,774883,1387,18,377,0,145,847,13694,2505,10350,839,R
2006,SD,South Dakota,781919,2071,30,465,0,158,1418,13812,3024,9954,834,R
2007,SD,South Dakota,796214,1926,31,433,0,118,1344,13829,2647,10398,784,R
2008,SD,South Dakota,804194,2227,37,562,0,134,1494,13867,2683,10266,918,R
2009,SD,South Dakota,812383,1777,30,501,0,117,1129,14378,2621,10891,866,R
2010,SD,South Dakota,816598,2196,23,385,0,154,1634,15188,3192,11196,800,R
2011,SD,South Dakota,823593,2105,20,503,0,167,1415,15299,2927,11423,949,R
2012,SD,South Dakota,834047,2701,23,600,0,157,1921,17326,3280,12973,1073,R
2013,SD,South Dakota,845510,2733,18,0,507,156,2052,16274,3383,11955,936,R
2014,SD,South Dakota,853304,2801,23,0,478,199,2101,16036,2817,12209,1010,R
2015,SD,South Dakota,857919,3302,33,0,500,215,2554,16739,2969,12576,1194,R
2016,SD,South Dakota,861542,3636,28,0,526,274,2808,17207,3002,12705,1500,R
2017,SD,South Dakota,873286,3753,27,0,575,264,2887,16588,2835,12285,1468,R
2018,SD,South Dakota,878698,3483,12,0,617,222,2632,15191,2502,11237,1452,R
2019,SD,     South Dakota,887127,3523,16,0,647,190,2670,15686,2662,11265,1759,R
2020,SD,     South Dakota,892717,4476,40,0,599,274,3563,17468,3036,12117,2315,R
1979,TN,Tennessee,4380000,18135,430,1511,0,7277,8917,157651,56710,84850,16091,R
1980,TN,Tennessee,4545590,20824,489,1700,0,8208,10427,183632,68251,98876,16505,R
1981,TN,Tennessee,4610000,19019,448,1735,0,7916,8920,179737,63811,100526,15400,R
1982,TN,Tennessee,4651000,19586,452,1651,0,8173,9310,185692,59934,110316,15442,R
1983,TN,Tennessee,4685000,18836,410,1682,0,8094,8650,169110,56498,97785,14827,R
1984,TN,Tennessee,4717000,21010,394,1887,0,7867,10862,162462,53002,92176,17284,R
1985,TN,Tennessee,4762000,22592,429,2027,0,8614,11522,175827,55563,97159,23105,R
1986,TN,Tennessee,4803000,25919,501,2256,0,9978,13184,191861,63649,102103,26109,R
1987,TN,Tennessee,4855000,25900,444,2133,0,9409,13914,200616,65632,107459,27525,D
1988,TN,Tennessee,4919000,26205,461,2201,0,8537,15006,193647,60894,106052,26701,D
1989,TN,Tennessee,4940000,27118,417,2270,0,7926,16505,195854,59621,109908,26325,D
1990,TN,Tennessee,4877185,32698,511,2415,0,9325,20447,213648,61646,124127,27875,D
1991,TN,Tennessee,4953000,35955,547,2299,0,10543,22566,229856,67608,131855,30393,D
1992,TN,Tennessee,5024000,37487,520,2377,0,10964,23626,220534,63665,127934,28935,D
1993,TN,Tennessee,5099000,39047,521,2544,0,11224,24758,228117,60299,137683,30135,D
1994,TN,Tennessee,5175000,38705,482,2545,0,10735,24943,226247,59080,138173,28994,D
1995,TN,Tennessee,5256000,40549,557,2477,0,11732,25783,241315,60086,147143,34086,R
1996,TN,Tennessee,5320000,41175,503,2475,0,11902,26295,248729,61896,152405,34428,R
1997,TN,Tennessee,5368000,42389,511,3056,0,11487,27335,253484,62899,156843,33742,R
1998,TN,Tennessee,5431000,38832,460,2485,0,9667,26220,234588,58432,148057,28099,R
1999,TN,Tennessee,5483535,38111,391,2415,0,8598,26707,219302,51362,142685,25255,R
2000,TN,Tennessee,5689283,40233,410,2186,0,9465,28172,237985,56344,154111,27530,R
2001,TN,Tennessee,5749398,42776,423,2196,0,10219,29938,252992,59705,165015,28272,R
2002,TN,Tennessee,5789796,41562,420,2290,0,9413,29439,249399,61248,161610,26541,R
2003,TN,Tennessee,5845208,40409,396,2129,0,9413,28471,256565,63323,166769,26473,D
2004,TN,Tennessee,5893298,41113,357,2282,0,8863,29611,254991,60386,169828,24777,D
2005,TN,Tennessee,5955745,45104,431,2194,0,10009,32470,256093,61508,169357,25228,D
2006,TN,Tennessee,6038803,46043,419,2194,0,11143,32287,249860,63024,164183,22653,D
2007,TN,Tennessee,6156719,46482,405,2201,0,11033,32843,252342,61817,168807,21718,D
2008,TN,Tennessee,6214888,44913,412,2078,0,10804,31619,251089,65093,166793,19203,D
2009,TN,Tennessee,6296254,41933,468,2019,0,9653,29793,237157,63832,158309,15016,D
2010,TN,Tennessee,6357436,38909,359,2173,0,8361,28016,232855,64293,153729,14833,D
2011,TN,Tennessee,6399787,38895,380,2095,0,8082,28338,230900,62830,153928,14142,R
2012,TN,Tennessee,6454914,41213,400,2047,0,8151,30615,217925,56231,148731,12963,R
2013,TN,Tennessee,6497269,38063,335,0,2500,7333,27895,207683,51334,144443,11906,R
2014,TN,Tennessee,6547779,39989,369,0,2595,7268,29757,200911,46798,141464,12649,R
2015,TN,Tennessee,6595056,40816,418,0,2801,7499,30098,196047,43753,139259,13035,R
2016,TN,Tennessee,6649404,42459,495,0,2803,7829,31332,191199,40607,135353,15239,R
2017,TN,Tennessee,6708794,43940,538,0,3028,7867,32507,198028,38819,140636,18573,R
2018,TN,Tennessee,6771631,42687,508,0,3011,7222,31946,192897,33538,138710,20649,R
2019,TN,     Tennessee,6830325,40908,515,0,2943,6164,31286,181801,29969,132540,19292,R
2020,TN,     Tennessee,6886834,46328,663,0,2678,5575,37412,171675,26479,124098,21098,R
1979,TX,Texas,13385000,67988,2235,6043,0,25667,34043,725109,239758,412515,72836,R
1980,TX,Texas,14169829,77978,2392,6700,0,29547,39339,792480,262600,450792,79088,R
1981,TX,Texas,14755000,78560,2446,6821,0,28528,40765,814163,275978,454879,83306,R
1982,TX,Texas,15280000,88178,2466,6816,0,33618,45278,874799,285967,501727,87105,R
1983,TX,Texas,15724000,80546,2239,6333,0,29769,42205,848312,262198,503582,82532,D
1984,TX,Texas,15989000,80737,2093,7343,0,28540,42761,883391,266074,529518,87799,D
1985,TX,Texas,16370000,90030,2132,8364,0,31680,47854,985265,289825,595912,99528,D
1986,TX,Texas,16682000,109925,2258,8607,0,40021,59039,1125897,341747,665029,119121,D
1987,TX,Texas,16789000,105961,1959,8068,0,38053,57881,1190558,355597,711594,123367,R
1988,TX,Texas,16780000,109499,2022,8119,0,39301,60057,1235870,361972,739642,134256,R
1989,TX,Texas,16991000,111889,2029,7951,0,37913,63996,1234977,342346,741660,150971,R
1990,TX,Texas,16986510,129343,2389,8750,0,44297,73907,1200151,314512,731224,154415,R
1991,TX,Texas,17349000,145743,2652,9266,0,49700,84125,1210784,312693,734261,163830,D
1992,TX,Texas,17656000,142369,2239,9437,0,44588,86105,1103779,268928,689780,145071,D
1993,TX,Texas,18031000,137419,2147,9922,0,40469,84881,1023612,233913,664862,124837,D
1994,TX,Texas,18378000,129838,2022,9102,0,37643,81071,949387,214687,623947,110753,D
1995,TX,Texas,18724000,124303,1693,8563,0,33667,80380,940033,202642,632468,104923,R
1996,TX,Texas,19128000,123270,1477,8376,0,32804,80613,968732,204390,659414,104928,R
1997,TX,Texas,19439000,117126,1327,8011,0,30522,77266,948231,201059,645451,101721,R
1998,TX,Texas,19760000,111566,1346,7913,0,28677,73630,898496,194883,606967,96646,R
1999,TX,Texas,20044141,112306,1217,7614,0,29405,74070,896261,190362,613862,92037,R
2000,TX,Texas,20851820,113653,1238,7856,0,30257,74302,919658,188975,637522,93161,R
2001,TX,Texas,21370983,122155,1332,8169,0,35348,77306,976654,204362,669625,102667,R
2002,TX,Texas,21736925,126018,1302,8508,0,37580,78628,1004274,212602,688992,102680,R
2003,TX,Texas,22103374,122246,1422,8025,0,37017,75782,1016735,219877,698644,98214,R
2004,TX,Texas,22471549,121554,1364,8388,0,35817,75985,1010702,220118,696507,94077,R
2005,TX,Texas,22928508,121091,1407,8511,0,35790,75383,990293,219828,677042,93423,R
2006,TX,Texas,23507783,121602,1386,8429,0,37256,74531,959846,215710,648711,95425,R
2007,TX,Texas,23904380,122014,1419,8460,0,38778,73357,985421,228320,663101,94000,R
2008,TX,Texas,24326974,123585,1370,8055,0,37739,76421,969865,230046,654435,85384,R
2009,TX,Texas,24782302,121684,1330,8311,0,38022,74021,995082,240058,678455,76569,R
2010,TX,Texas,25253466,113231,1249,7622,0,32843,71517,951246,228597,654626,68023,R
2011,TX,Texas,25631778,104734,1130,7486,0,28620,67498,892810,215755,613131,63924,R
2012,TX,Texas,26060796,106475,1148,7715,0,30385,67227,876459,205002,606425,65032,R
2013,TX,Texas,26505637,108757,1140,0,10456,31810,65351,862289,191062,605440,65787,R
2014,TX,Texas,26979078,109711,1192,0,11636,31021,65862,813515,168085,577018,68412,R
2015,TX,Texas,27429639,113193,1317,0,12323,31924,67629,779234,153067,558653,67514,R
2016,TX,Texas,27904862,121064,1478,0,13446,33298,72842,769892,148796,552106,68990,R
2017,TX,Texas,28322717,123984,1405,0,14536,32120,75923,723143,133458,521767,67918,R
2018,TX,Texas,28628666,118197,1327,0,15098,28339,73433,681143,117897,493238,70008,R
2019,TX,     Texas,28986794,122263,1432,0,15303,29126,76402,697305,114494,504461,78350,R
2020,TX,     Texas,29360759,131084,1931,0,13509,26834,88810,659160,108851,466033,84276,R
1979,UT,Utah,1367000,4158,66,381,0,1062,2649,70918,16115,50216,4587,R
1980,UT,Utah,1458729,4425,55,404,0,1170,2796,81357,19283,57354,4720,D
1981,UT,Utah,1516000,4527,50,431,0,1286,2760,82643,19326,58855,4462,D
1982,UT,Utah,1554000,4440,53,369,0,1344,2674,78451,17202,57341,3908,D
1983,UT,Utah,1619000,4144,56,403,0,1041,2644,78715,16446,58453,3816,D
1984,UT,Utah,1652000,4035,47,336,0,958,2694,74703,14176,56782,3745,D
1985,UT,Utah,1645000,4398,50,381,0,908,3059,83072,15511,63668,3893,R
1986,UT,Utah,1665000,4441,53,421,0,976,2991,86774,15233,67825,3716,R
1987,UT,Utah,1680000,3861,55,365,0,887,2554,90532,15975,71038,3519,R
1988,UT,Utah,1691000,4110,47,399,0,915,2749,90223,14898,71677,3648,R
1989,UT,Utah,1707000,4417,45,489,0,898,2985,92577,15311,73210,4056,R
1990,UT,Utah,1722850,4892,52,651,0,980,3209,92620,15172,73352,4096,R
1991,UT,Utah,1770000,5077,52,808,0,976,3241,94178,14872,75041,4265,R
1992,UT,Utah,1813000,5267,54,823,0,1014,3376,97322,16045,76964,4313,R
1993,UT,Utah,1860000,5599,58,829,0,1090,3622,91816,14708,72603,4505,R
1994,UT,Utah,1908000,5810,56,806,0,1213,3735,95332,15089,74554,5689,R
1995,UT,Utah,1951000,6415,76,834,0,1309,4196,112417,15623,89202,7592,R
1996,UT,Utah,2000000,6638,63,836,0,1377,4362,113079,16965,87542,8572,R
1997,UT,Utah,2059000,6878,50,977,0,1408,4443,116569,18335,89090,9144,R
1998,UT,Utah,2100000,6599,65,875,0,1385,4274,109025,17070,84255,7700,R
1999,UT,Utah,2129836,5869,44,806,0,1158,3861,100130,14592,78156,7382,R
2000,UT,Utah,2233169,5711,43,863,0,1242,3563,94247,14348,73438,6461,R
2001,UT,Utah,2278712,5314,67,896,0,1197,3154,90993,13804,70676,6513,R
2002,UT,Utah,2318789,5488,47,943,0,1140,3358,97641,15124,74795,7722,R
2003,UT,Utah,2352119,5889,60,919,0,1258,3652,100084,16961,75321,7802,R
2004,UT,Utah,2420708,5647,46,967,0,1236,3398,97762,15225,74889,7648,R
2005,UT,Utah,2490334,5612,56,920,0,1095,3541,95546,14971,72082,8493,R
2006,UT,Utah,2550063,5771,51,891,0,1242,3587,89572,14721,66480,8371,R
2007,UT,Utah,2645330,6347,59,935,0,1425,3928,93082,15594,68573,8915,R
2008,UT,Utah,2736424,6165,41,915,0,1421,3788,92373,14766,70299,7308,R
2009,UT,Utah,2784572,5998,39,941,0,1304,3714,91751,15258,69556,6937,R
2010,UT,Utah,2775479,5925,53,983,0,1269,3620,88316,15095,67242,5979,R
2011,UT,Utah,2814347,5547,50,901,0,1079,3517,84084,13170,64727,6187,R
2012,UT,Utah,2854871,5939,52,975,0,1105,3807,86284,13095,67157,6032,R
2013,UT,Utah,2902787,6644,51,0,1522,1247,3824,88334,13727,67115,7492,R
2014,UT,Utah,2944498,6464,66,0,1547,1313,3538,85473,11656,66487,7330,R
2015,UT,Utah,2990632,7138,57,0,1704,1329,4048,89797,12606,68464,8727,R
2016,UT,Utah,3044321,7406,74,0,1560,1528,4244,90561,12938,68261,9362,R
2017,UT,Utah,3103118,7515,74,0,1758,1498,4185,86201,11780,64955,9466,R
2018,UT,Utah,3153550,7551,63,0,1854,1237,4397,76294,10079,58406,7809,R
2019,UT,     Utah,3203383,7588,77,0,1865,1130,4516,69469,8658,54078,6733,R
2020,UT,     Utah,3249879,8471,102,0,1809,1362,5198,80091,9444,60359,10288,R
1979,VA,Virginia,5197000,15642,447,1407,0,5799,7989,211014,56265,141923,12826,R
1980,VA,Virginia,5323412,16355,459,1458,0,6392,8046,229587,64020,153437,12130,R
1981,VA,Virginia,5426000,17456,464,1478,0,7229,8285,235984,63350,161678,10956,R
1982,VA,Virginia,5491000,16970,405,1366,0,6708,8491,216713,53457,153148,10108,D
1983,VA,Virginia,5550000,16236,387,1370,0,6132,8347,203632,51055,142714,9863,D
1984,VA,Virginia,5636000,16660,434,1503,0,5765,8958,196581,47436,138808,10337,D
1985,VA,Virginia,5706000,16813,405,1551,0,5720,9137,198821,44797,142800,11224,D
1986,VA,Virginia,5787000,17708,411,1533,0,6118,9646,205658,47021,145935,12702,D
1987,VA,Virginia,5904000,17414,437,1537,0,6244,9196,216354,47642,153690,15022,D
1988,VA,Virginia,5996000,17940,468,1622,0,6748,9102,232496,49069,165343,18084,D
1989,VA,Virginia,6098000,19057,480,1638,0,6494,10445,237757,46156,172645,18956,D
1990,VA,Virginia,6187358,21694,545,1915,0,7626,11608,253063,45236,187564,20263,D
1991,VA,Virginia,6286000,23459,583,1879,0,8651,12346,266160,49224,195652,21284,D
1992,VA,Virginia,6377000,23907,564,2008,0,8787,12548,250211,45217,185506,19488,D
1993,VA,Virginia,6491000,24160,539,2083,0,9216,12322,242975,43338,181104,18533,D
1994,VA,Virginia,6552000,23437,571,1868,0,8704,12294,241763,41855,181619,18289,R
1995,VA,Virginia,6618000,23921,503,1799,0,8718,12901,240084,39388,181333,19363,R
1996,VA,Virginia,6675000,22782,500,1783,0,8181,12318,242100,39255,184237,18608,R
1997,VA,Virginia,6734000,23249,488,1819,0,8384,12558,237773,38475,180406,18892,R
1998,VA,Virginia,6791000,22115,422,1810,0,7171,12712,226461,38094,170012,18355,R
1999,VA,Virginia,6872912,21626,392,1720,0,6947,12567,210260,32411,159896,17953,R
2000,VA,Virginia,7078515,19943,401,1616,0,6295,11631,194405,30434,146158,17813,R
2001,VA,Virginia,7196750,20939,364,1770,0,6860,11945,207506,31604,157060,18842,R
2002,VA,Virginia,7287829,21256,388,1839,0,6961,12068,207783,31757,157548,18478,D
2003,VA,Virginia,7365284,20490,416,1807,0,6713,11554,200449,29105,153367,17977,D
2004,VA,Virginia,7481332,20608,390,1816,0,6899,11503,200368,28759,154154,17455,D
2005,VA,Virginia,7564327,21434,458,1763,0,7495,11718,200404,29829,154584,15991,D
2006,VA,Virginia,7642884,21683,403,1829,0,7779,11672,190257,32166,143292,14799,D
2007,VA,Virginia,7712091,21035,415,1793,0,7696,11131,191763,32028,145634,14101,D
2008,VA,Virginia,7769089,20031,370,1794,0,7470,10397,196726,32188,151191,13347,D
2009,VA,Virginia,7882590,18195,370,1572,0,6342,9911,194020,31956,150374,11690,D
2010,VA,Virginia,8023953,17184,376,1580,0,5678,9550,187403,30804,145990,10609,R
2011,VA,Virginia,8104384,16014,304,1591,0,5425,8694,182902,30656,142476,9770,R
2012,VA,Virginia,8186628,15676,322,1505,0,4718,9131,178434,29651,139654,9129,R
2013,VA,Virginia,8270345,16355,320,0,2350,4574,9111,171558,26717,136215,8626,R
2014,VA,Virginia,8328098,16522,350,0,2416,4294,9462,161934,23210,131001,7723,D
2015,VA,Virginia,8367587,16705,390,0,2499,4459,9357,157803,21542,128064,8197,D
2016,VA,Virginia,8414380,18495,482,0,2830,4826,10357,157292,20159,127285,9848,D
2017,VA,Virginia,8465207,17811,470,0,3026,4331,9984,152515,18524,123812,10179,D
2018,VA,Virginia,8501286,17357,417,0,3072,3610,10258,142931,15659,116496,10776,D
2019,VA,     Virginia,8556642,17916,447,0,2915,3520,11034,140944,13972,116656,10316,D
2020,VA,     Virginia,8590563,17925,524,0,2279,2947,12175,125114,11465,102796,10853,D
1979,VT,Vermont,493000,908,7,113,0,141,647,25217,7779,15776,1662,R
1980,VT,Vermont,511299,914,11,149,0,199,555,24592,7806,15278,1508,R
1981,VT,Vermont,515000,659,22,170,0,142,325,25404,8033,15860,1511,R
1982,VT,Vermont,516000,655,12,180,0,119,344,23555,6080,16160,1315,R
1983,VT,Vermont,525000,696,19,214,0,146,317,21001,5724,14296,981,R
1984,VT,Vermont,530000,769,12,105,0,122,530,20261,5387,14054,820,R
1985,VT,Vermont,535000,790,18,103,0,112,557,20011,5210,13924,877,D
1986,VT,Vermont,541000,807,11,118,0,120,558,20708,5135,14593,980,D
1987,VT,Vermont,548000,748,15,123,0,92,518,22658,6085,15485,1088,D
1988,VT,Vermont,556000,791,11,128,0,89,563,22786,6098,15591,1097,D
1989,VT,Vermont,567000,753,11,131,0,102,509,22429,5835,15466,1128,D
1990,VT,Vermont,562758,716,13,146,0,66,491,23713,6119,16424,1170,D
1991,VT,Vermont,567000,662,12,173,0,67,410,21764,5784,15161,819,D
1992,VT,Vermont,570000,624,12,142,0,51,419,18813,4706,13507,600,D
1993,VT,Vermont,576000,658,21,229,0,52,356,22223,5036,16423,764,D
1994,VT,Vermont,580000,562,6,160,0,71,325,18290,4274,13154,862,D
1995,VT,Vermont,585000,692,13,165,0,64,450,19395,4451,14150,794,D
1996,VT,Vermont,589000,714,11,159,0,91,453,16973,3964,12124,885,D
1997,VT,Vermont,589000,705,9,156,0,79,461,15953,3611,11542,800,D
1998,VT,Vermont,591000,628,13,163,0,56,396,17924,3966,13084,874,D
1999,VT,Vermont,593740,676,17,136,0,65,458,16059,3537,11610,912,D
2000,VT,Vermont,608827,691,9,140,0,117,425,17494,3501,13184,809,D
2001,VT,Vermont,612978,644,7,107,0,107,423,16334,3150,12426,758,D
2002,VT,Vermont,616408,658,13,126,0,77,442,14942,3489,10684,769,D
2003,VT,Vermont,619343,707,15,126,0,62,504,13803,3017,10132,654,R
2004,VT,Vermont,621233,713,16,160,0,78,459,14559,3435,10537,587,R
2005,VT,Vermont,622387,782,8,153,0,76,545,14749,3185,10894,670,R
2006,VT,Vermont,623908,905,14,173,0,114,604,14920,3443,10857,620,R
2007,VT,Vermont,621254,802,13,128,0,79,582,14702,3200,10853,649,R
2008,VT,Vermont,621270,854,17,133,0,93,611,15903,3515,11802,586,R
2009,VT,Vermont,621760,837,8,132,0,111,586,15010,3471,11090,449,R
2010,VT,Vermont,625909,820,7,141,0,76,596,14160,3348,10373,439,R
2011,VT,Vermont,626592,925,11,146,0,99,669,15086,3838,10720,528,D
2012,VT,Vermont,625953,891,8,131,0,114,638,15653,4179,11014,460,D
2013,VT,Vermont,626855,775,10,0,136,75,554,13882,3352,10193,337,D
2014,VT,Vermont,626767,643,10,0,117,72,444,9721,2092,7375,254,D
2015,VT,Vermont,626088,747,10,0,150,105,482,9064,2034,6834,196,D
2016,VT,Vermont,623354,851,14,0,170,78,589,9705,1884,7637,184,D
2017,VT,Vermont,624525,1082,17,0,254,100,711,9339,1945,7169,225,R
2018,VT,Vermont,624358,1155,11,0,326,73,745,8211,1496,6451,264,R
2019,VT,     Vermont,624046,1293,11,0,298,71,913,8968,1286,7378,304,R
2020,VT,     Vermont,623347,1081,14,0,213,64,790,7586,961,6361,264,R
1979,WA,Washington,3926000,17064,187,1821,0,4739,10317,239285,70024,152204,17057,D
1980,WA,Washington,4113331,19098,225,2169,0,5558,11146,265338,76598,172468,16272,D
1981,WA,Washington,4212000,18839,213,2115,0,5475,11036,265135,79696,171994,13445,R
1982,WA,Washington,4245000,17251,185,1947,0,5003,10116,249429,71322,166188,11919,R
1983,WA,Washington,4300000,15986,212,1923,0,4533,9318,245357,70526,163953,10878,R
1984,WA,Washington,4349000,17676,202,2176,0,5247,10051,247687,74021,162905,10761,R
1985,WA,Washington,4409000,18757,231,2420,0,5821,10285,269099,79859,176501,12739,D
1986,WA,Washington,4463000,19505,223,2382,0,6031,10869,287535,83078,190420,14037,D
1987,WA,Washington,4538000,19945,256,2370,0,6417,10902,298491,86428,194131,17932,D
1988,WA,Washington,4619000,21543,264,2611,0,6738,11930,307008,85711,201301,19996,D
1989,WA,Washington,4761000,22460,209,2938,0,6672,12641,291472,73563,196122,21787,D
1990,WA,Washington,4866692,24410,238,3115,0,6326,14731,278440,61460,195221,21759,D
1991,WA,Washington,5018000,26224,211,3529,0,7303,15181,290115,61996,205814,22305,D
1992,WA,Washington,5136000,27454,258,3697,0,7178,16321,289581,57612,207755,24214,D
1993,WA,Washington,5255000,27040,271,3384,0,7204,16181,285753,56083,205701,23969,D
1994,WA,Washington,5343000,27317,294,3230,0,7464,16329,294734,55793,212198,26743,D
1995,WA,Washington,5431000,26300,275,3214,0,7209,15602,314213,59265,224861,30087,D
1996,WA,Washington,5533000,23857,255,2828,0,6587,14187,303111,58512,215706,28893,D
1997,WA,Washington,5610000,24724,244,2885,0,6734,14864,307742,62064,213823,31855,D
1998,WA,Washington,5689000,24380,224,2740,0,6577,14839,309419,60446,213773,35200,D
1999,WA,Washington,5756361,21716,171,2711,0,5808,13026,280793,54652,192334,33807,D
2000,WA,Washington,5894121,21788,196,2737,0,5812,13043,279144,53476,190650,35018,D
2001,WA,Washington,5993390,21258,179,2600,0,5934,12545,287234,53024,195133,39077,D
2002,WA,Washington,6067060,20964,184,2734,0,5797,12249,288967,54948,193526,40493,D
2003,WA,Washington,6131298,21272,182,2863,0,5718,12509,291542,58271,192653,40618,D
2004,WA,Washington,6207046,21330,190,2857,0,5866,12417,300837,60632,196972,43233,D
2005,WA,Washington,6291899,21745,205,2811,0,5788,12941,307661,60343,198031,49287,D
2006,WA,Washington,6395798,22303,197,2748,0,6424,12934,288456,58843,183179,46434,D
2007,WA,Washington,6468424,21768,174,2653,0,6079,12862,261776,52874,170782,38120,D
2008,WA,Washington,6549224,21888,193,2653,0,6419,12623,249283,53136,167013,29134,D
2009,WA,Washington,6664195,22412,190,2583,0,6711,12928,245215,53047,168421,23747,D
2010,WA,Washington,6742950,21138,154,2579,0,5929,12476,249426,55192,168490,25744,D
2011,WA,Washington,6823267,20152,163,2320,0,5627,12042,244209,56561,162828,24820,D
2012,WA,Washington,6895318,20553,217,2250,0,5801,12285,254377,61376,166338,26663,D
2013,WA,Washington,6973742,20223,167,0,2604,5829,11623,259139,58487,172227,28425,D
2014,WA,Washington,7063166,20185,178,0,2780,5641,11586,261257,55381,175317,30559,D
2015,WA,Washington,7160290,20505,218,0,2778,5450,12059,249474,51114,171393,26967,D
2016,WA,Washington,7280934,22101,195,0,3133,5649,13124,254994,49249,173423,32322,D
2017,WA,Washington,7425432,22483,226,0,3300,5386,13571,235206,43687,162154,29365,D
2018,WA,Washington,7523869,23719,236,0,3610,5557,14316,223256,40434,154941,27881,D
2019,WA,     Washington,7614024,23095,205,0,3497,5356,14037,207539,34976,147778,24785,D
2020,WA,     Washington,7693612,22596,301,0,2677,5183,14435,210223,40167,142657,27399,D
1979,WI,Wisconsin,4720000,7839,160,758,0,2857,4064,199273,44806,141880,12587,R
1980,WI,Wisconsin,4680917,8546,136,697,0,3310,4403,216073,50524,154070,11479,R
1981,WI,Wisconsin,4739000,8904,161,745,0,3249,4749,216997,50813,155892,10292,R
